_id,sourceid,name,description,logourl,defaultpresent,users,rating1,rating2,rating3,rating4,cpm,ourcpm,vpm
1,1,LinkedIn,World's largest professional network with 100+ million users,http://www.wordtracker.com/attachments/LinkedIn-Logo.png,0,99,9,8,9,5,295,220,300
2,2,Simply Hired,Free listings on the world's most comprehensive job search engine with 30 million users,http://www.simplyhired.com/c/simplyhired-home-page/images/c74/simplyhired-logo.png,1,30,8,7,6,8,0,0,620
3,3,Simply Hired,Sponsored listings on the world's most comprehensive job search engine with 30 million users for high visibility,http://www.simplyhired.com/c/simplyhired-home-page/images/c74/simplyhired-logo.png,0,30,9,9,8,9,69,0,950
4,4,Indeed,Free listings on the world's largest job search engine with 60 million users,http://tctechcrunch2011.files.wordpress.com/2008/04/indeed_logo.png?w=640,1,60,8,7,6,8,0,0,750
5,5,Indeed,Sponsored listings on the world's largest job search engine with 60 million users,http://tctechcrunch2011.files.wordpress.com/2008/04/indeed_logo.png?w=640,0,60,9,9,8,9,25,0,950
6,6,Monster,World's largest job board with 20 million users,http://www.linkstolearning.com/Images/monster_hd.gif,1,20,7,8,9,8,210,150,500
7,7,Career Builder,,http://www.belladomain.com/wp-content/uploads/2010/01/careerbuilder-logo1.jpg,0,10,7,4,9,8,419,300,450
8,8,Craigslist,Worlds largest classified listing site,http://www.trashsociety.com/wp-content/uploads/2011/03/craigslist-logo.jpeg,0,5,6,6,3,9,75,75,650
9,9,aol find a job,,http://harmon.ie/sites/default/files/images/logos/aol-jobs-logo.png,0,6,4,4,2,5,0,0,100
10,10,snagajob,,http://t2.gstatic.com/images?q=tbn:ANd9GcT4tMuH6rVri6SCMMXWntCOpu30h1KigC5rjifyL6e37O1zVQAj7w&t=1,0,5,4,4,2,6,0,0,150
11,11,usajobs,,http://www.few.org/images/usajobs.gif,0,3,4,4,2,5,0,0,100
12,12,job.com,,http://images.job.com/main/jobBanr2-logo.gif,1,2,4,4,2,6,133,100,100
13,13,theladders,100k+ jobs,http://www.conductor.com/files/TheLaddersLogo.jpg,0,3,8,9,8,3,0,0,300
14,14,dice,Worlds biggest tech jobs site,http://phandroid.s3.amazonaws.com/wp-content/uploads/2011/03/DiceLogo-550x224.jpg,1,5,7,7,3,3,495,315,500
15,15,jobbankusa,,http://t3.gstatic.com/images?q=tbn:ANd9GcQgZzYcHJUwD-jyTpfdoRsRPu1Hi2hTda2dRffrL_N5j38-6iGHtQ&t=1,0,1,3,5,5,8,0,0,100
16,16,vault,,http://www3.davidson.edu/cms/Images/StudentLife/CareerServices/VaultLogo.jpg,0,1,6,6,6,6,0,0,100
17,17,tweetmyjobs,,https://twimg0-a.akamaihd.net/profile_images/1491799542/Logo_tmj_new2b_reasonably_small.png,0,1,7,7,7,3,0,0,400
18,18,linkup,,http://www.linkup.com/images/front/linkup-logo.gif,0,1,6,6,6,3,0,0,250
19,19,mashable jobs,,http://6.mshcdn.com/wp-content/uploads/2010/04/Mashable_Logo_1280px.png,0,2,7,7,7,2,0,0,200
20,20,stackoverflow,,http://blog.stackoverflow.com/wp-content/uploads/stackoverflow-logo-300.png,0,1,9,5,2,2,0,0,400
21,21,reddit,,http://www.oxeyegames.com/wp-content/uploads/2011/05/Reddit_logo-300x100.png,0,1,8,5,3,1,0,0,500
22,22,Techcrunch,Worlds most popular tech blog,http://nothingtosay.com/wp-content/uploads/2011/09/techcrunch-logo1-175x175.png,0,1,8,5,2,0,200,180,200
